【合租】管庄 远洋一方润园2号 3室主卧,远洋一方润园2号,2180,http://bj.58.com/pinpaigongyu/27468807020337x.shtml
【合租】上地 怡美家园 3室次卧,怡美家园,2550,http://bj.58.com/pinpaigongyu/27825183634753x.shtml
【合租】立水桥 溪城家园 4室次卧,溪城家园,2340,http://bj.58.com/pinpaigongyu/27826344758466x.shtml
【整租】梨园 魔方公寓 1室1厅,【整租】梨园,3000,http://bj.58.com/pinpaigongyu/27800852280653x.shtml
【整租】黄村 枣园小区 1室1厅,枣园小区,2000,http://bj.58.com/pinpaigongyu/27761319950260x.shtml
【合租】垡头 世纪东方嘉园 5室主卧,世纪东方嘉园,2660,http://bj.58.com/pinpaigongyu/27844897171650x.shtml
【整租】西红门 乐乎公寓 1室0厅,【整租】西红门,3190,http://bj.58.com/pinpaigongyu/27766680156109x.shtml
【合租】花乡 德鑫家园 4室主卧,德鑫家园,2290,http://bj.58.com/pinpaigongyu/27825504039116x.shtml
【合租】成寿寺 中海城香克林 4室主卧,中海城香克林,2850,http://bj.58.com/pinpaigongyu/27824598729275x.shtml
【合租】垡头 翠城馨园 3室次卧,翠城馨园,2090,http://bj.58.com/pinpaigongyu/27824360871486x.shtml
【整租】梨园 魔方公寓 1室1厅,【整租】梨园,3000,http://bj.58.com/pinpaigongyu/27825182831050x.shtml
【合租】天通苑 天通苑东二区 4室主卧,天通苑东二区,2390,http://bj.58.com/pinpaigongyu/27826054417725x.shtml
【整租】北七家 TBD云集中心 3室1厅,TBD云集中心,3900,http://bj.58.com/pinpaigongyu/27825830805050x.shtml
【整租】梨园 魔方公寓 1室1厅,【整租】梨园,3000,http://bj.58.com/pinpaigongyu/27800801490732x.shtml
【整租】亦庄 魔方公寓 1室1厅,【整租】亦庄,3300,http://bj.58.com/pinpaigongyu/27725316736190x.shtml
【合租】酒仙桥 东风家园 3室主卧,东风家园,3390,http://bj.58.com/pinpaigongyu/27825271619498x.shtml
【合租】安慧桥 惠新西街 3室次卧,惠新西街,2600,http://bj.58.com/pinpaigongyu/27413271967545x.shtml
【合租】亚运村 九台2000家园 5室主卧,九台2000家园,2800,http://bj.58.com/pinpaigongyu/27370228203313x.shtml
【合租】姚家园 姚家园西里一号院 2室主卧,姚家园西里一号院,2680,http://bj.58.com/pinpaigongyu/27834913026485x.shtml
【合租】北苑 领地OFFICE 4室主卧,领地OFFICE,3200,http://bj.58.com/pinpaigongyu/27823017741887x.shtml
【合租】姚家园 姚家园西里一号院 2室主卧,姚家园西里一号院,2680,http://bj.58.com/pinpaigongyu/27834913026485x.shtml
【合租】北苑 领地OFFICE 4室主卧,领地OFFICE,3200,http://bj.58.com/pinpaigongyu/27823017741887x.shtml
【合租】定福庄 聚福苑 3室主卧,聚福苑,2720,http://bj.58.com/pinpaigongyu/27780032907726x.shtml
【整租】亦庄 蜂客公寓 1室1厅,【整租】亦庄,2880,http://bj.58.com/pinpaigongyu/27844013392045x.shtml
【整租】立水桥 贝客公寓立水桥店 1室1厅,【整租】立水桥,3950,http://bj.58.com/pinpaigongyu/27824355826761x.shtml
【合租】望京 望京西园四区 4室主卧,望京西园四区,3100,http://bj.58.com/pinpaigongyu/27370439075776x.shtml
【整租】管庄 魔方公寓 1室1厅,【整租】管庄,2800,http://bj.58.com/pinpaigongyu/27768257295948x.shtml
